Party,District,Member,Counties Represented,Twitter,Facebook,website
Republican,1,Bill Cook ,"Beaufort, Camden, Currituck, Dare, Gates, Hyde, Pasquotank, Perquimans",SenatorBillCook,158243254284317,http://cookinthesenate.com/
Republican,2,Norman W. Sanderson ,"Carteret, Craven, Pamlico",normsanderson,342428745812208,http://normansanderson.com/
Democratic,3,Erica Smith-Ingram ,"Bertie, Chowan, Edgecombe, Hertford, Martin, Northampton, Tyrrell, Washington",SmithIngramNC,853629447996516,http://www.smith-ingramforncsenate.com/
Democratic,4,Angela R. Bryant ,"Halifax, Nash, Vance, Warren, Wilson",angelareb,1529132930657365,http://www.voteangelabryant.com/
Democratic,5,Don Davis ,"Greene, Lenoir, Pitt, Wayne",dondavis34,,http://votedondavis.com/
Republican,6,Harry Brown ,"Jones, Onslow",,130354328382,http://www.senatorharrybrown.com/
Republican,7,Louis Pate ,"Lenoir, Pitt, Wayne",louispate,106668456044212,http://www.louispate.org/
Republican,8,Bill Rabon ,"Bladen, Brunswick, New Hanover, Pender",senbillrabon,,
Republican,9,Michael V. Lee ,New Hanover,,439294536200691,http://www.leefornc.com/
Republican,10,Brent Jackson ,"Duplin, Johnston, Sampson",senbrentjackson,696916650385804,http://senatorbrentjackson.com
Republican,11,E. S. (Buck) Newton ,"Johnston, Nash, Wilson",Buck_Newton,1493930284209610,http://www.bucknewton.com/
Republican,12,Ronald J. Rabin ,"Harnett, Johnston, Lee",SenatorRabin,450567764965243,http://www.ronaldrabin.com/
Democratic,13,Jane W. Smith ,"Columbus, Robeson",janesmithsenate,100001888692464,http://janesmithncsenate.com/
Democratic,14,Dan Blue ,Wake,DanBlueNC,1447355478838124,http://danblue.org/
Republican,15,"John M. Alexander, Jr. ",Wake,,,
Democratic,16,Jay J. Chaudhuri,Wake,jay_chaudhuri,725902877520868,http://www.jayfornc.com/
Republican,17,Tamara Barringer ,Wake,tamarabarringer,,http://tamarabarringer.com/
Republican,18,Chad Barefoot ,"Franklin, Wake",ChadBarefoot,200126263402549,http://new.chadbarefoot.com/
Republican,19,Wesley Meredith ,Cumberland,Sen_Meredith19,,http://www.wesleymeredith.com/
Democratic,20,"Floyd B. McKissick, Jr. ","Durham, Granville",FloydMcKissick,1548034322105769,www.mckissickforsenate.com
Democratic,21,Ben Clark ,"Cumberland, Hoke",senatorclark,,
Democratic,22,Mike Woodard ,"Caswell, Durham, Person",MikeWoodard,917050374974702,http://www.mikewoodard.com/
Democratic,23,Valerie P. Foushee ,"Chatham, Orange",ValFoushee,234725646679655,http://www.fousheefornc.com/about
Republican,24,Rick Gunn ,"Alamance, Randolph",senatorrickgunn,253969607079,http://www.gunnforncsenate.com/
Republican,25,Tom McInnis ,"Anson, Richmond, Rowan, Scotland, Stanly",,658238950913695,http://www.mcinnisfornc.com/about#!prettyPhoto
Republican,26,Phil Berger ,"Guilford, Rockingham",SenatorBerger,56158390063,http://www.philberger.org/
Republican,27,Trudy Wade ,Guilford,,582006198515549,http://trudywade.com/
Democratic,28,Gladys A. Robinson ,Guilford,,100002740231833,http://gladysrobinson.com/index.html
Republican,29,Jerry W. Tillman ,"Moore, Randolph",jerrytillman,112082523325,
Republican,30,Shirley B. Randleman ,"Stokes, Surry, Wilkes",,,
Republican,31,Joyce Krawiec ,"Forsyth, Yadkin",KrawiecforNC,590322164393637,http://www.joyceforsenate.com/
Democratic,32,"Paul A. Lowe, Jr.",Forsyth,PaulLowejr,1395720910732423,http://www.paullowefornc.com/
Republican,33,Cathy Dunn,"Davidson, Montgomery",,1687926628094308,http://www.cathydunnforsenate.com/
Republican,34,Andrew C. Brock ,"Davie, Iredell, Rowan",andrewbrock,36906410211,http://www.andrewbrock.com/
Republican,35,Tommy Tucker ,Union,,135920503156492,http://tommytuckerforncsenate.com/
Republican,36,"Fletcher L. Hartsell, Jr. ","Cabarrus, Union",,112389912884,
Democratic,37,Jeff Jackson ,Mecklenburg,JeffJacksonNC,245711905631405,http://www.jeffjacksonnc.com/
Democratic,38,Joel D. M. Ford ,Mecklenburg,joeldford,132655016864283,http://votejoelford.com/
Republican,39,Bob Rucho ,Mecklenburg,senatorbobrucho,,
Democratic,40,Joyce Waddell ,Mecklenburg,waddellsenate40,243693802484864,
Republican,41,Jeff Tarte ,Mecklenburg,JeffTarteNC,154574321321913,http://www.jefftarte.com/
Republican,42,Andy Wells ,"Alexander, Catawba",,,http://andywells.org/
Republican,43,Kathy Harrington ,Gaston,,,http://harringtonforncsenate.com/
Republican,44,David L. Curtis ,"Gaston, Iredell, Lincoln",davidcurtisnc,194513763973445,http://davidcurtisforncsenate.com/
Republican,45,Deanna Ballard,"Alleghany, Ashe, Avery, Caldwell, Watauga",DeannaBallardNC,1131221170238721,http://www.ballardfornc.com/
Republican,46,Warren Daniel ,"Burke, Cleveland",danielforsenate,231175271825,http://www.danielforsenate.com/
Republican,47,Ralph Hise ,"Madison, McDowell, Mitchell, Polk, Rutherford, Yancey",RalphHise,174626401646,http://www.ralphhise.com/
Republican,48,Chuck Edwards,"Buncombe, Henderson, Transylvania",,1502595483374872,http://www.chuckedwardsnc.com/
Democratic,49,Terry Van Duyn ,Buncombe,TerryVanDuynNC,313932592104949,http://votevanduyn.com/
Republican,50,Jim Davis ,"Cherokee, Clay, Graham, Haywood, Jackson, Macon, Swain",,,
